TIME,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
Belgium,"84,020.100",,"84,231.800",,"82,087.900",,"83,102.000",,"83,228.100",,"83,809.800",,"84,263.000",,"83,306.400",,"80,871.400",,"83,660.400",p
Bulgaria,"29,148.000",,"28,629.000",,"28,940.000",,"29,639.000",,"30,257.000",,"31,445.466",,"31,389.986",,"31,119.715",,"30,511.049",,"31,684.820",p
Czechia,"58,005.289",,"57,561.467",,"57,592.718",,"58,661.342",,"59,762.129",,"60,925.147",,"61,302.719",,"61,188.862",,"59,091.845",,"61,941.754",p
Denmark,"32,082.935",,"32,160.638",,"31,583.293",,"31,769.169",,"32,061.184",,"32,255.674",,"32,119.670",,"32,460.086",,"32,822.466",,"34,436.566",p
Germany (until 1990 former territory of the FRG),"538,206.000",,"536,440.000",,"524,827.000",,"528,350.000",,"530,551.000",,"531,318.000",,"521,809.000",,"507,543.000",,"490,054.000",,"515,836.000",p
Estonia,"7,408.000",,"7,332.000",,"7,417.000",,"7,440.000",,"7,673.677",,"7,735.492",,"8,291.802",,"8,257.100",,"8,463.192",,"8,639.582",p
Ireland,"24,543.167",,"24,755.971",,"24,932.158",,"25,681.784",,"26,312.448",,"26,839.919",,"27,594.718",,"28,166.568",,"28,518.659",,"29,795.541",p
Greece,"53,559.000",,"50,498.000",,"51,185.000",,"52,445.000",,"55,034.000",,"55,614.427",,"51,096.150",,"51,735.304",,"48,847.365",,"49,830.545",p
Spain,"244,677.000",,"236,046.000",,"233,379.000",,"238,589.000",,"240,472.000",,"246,657.000",,"246,134.000",,"242,843.326",,"227,619.584",,"234,968.991",p
France,"458,755.264",,"463,616.018",,"439,039.111",,"448,029.537",,"454,686.891",,"451,970.126",,"448,741.212",,"444,778.227",,"422,058.105",,"442,525.466",p
Croatia,"15,709.000",,"15,435.000",,"15,180.000",,"15,734.000",,"15,715.000",,"16,425.100",,"16,625.200",,"16,572.000",,"15,578.000",,"16,847.800",p
Italy,"307,217.383",,"297,289.392",,"291,083.935",,"297,180.421",,"295,508.622",,"301,880.515",,"303,442.970",,"301,803.837",,"283,814.521",,"300,589.000",p
Cyprus,"4,406.023",,"3,933.145",,"3,972.440",,"4,098.516",,"4,404.638",,"4,549.948",,"4,669.094",,"4,729.891",,"4,410.551",,"4,666.125",p
Latvia,"6,848.000",,"6,576.000",,"6,582.000",,"6,461.000",,"6,482.000",,"6,484.641",,"6,662.141",,"6,636.514",,"6,688.883",,"6,930.288",p
Lithuania,"9,724.000",,"9,770.000",,"10,009.000",,"10,165.000",,"10,626.000",,"10,957.500",,"11,283.300",,"11,409.300",,"11,155.000",,"11,953.600",p
Luxembourg,"6,219.797",,"6,183.632",,"6,182.363",,"6,228.740",,"6,366.078",,"6,393.274",,"6,458.709",,"6,396.947",,"6,117.969",,"6,490.700",p
Hungary,"36,634.000",,"36,245.000",,"36,900.000",,"38,141.000",,"38,693.000",,"40,150.000",,"40,882.000",,"41,406.000",,"41,406.000",,"43,887.000",p
Malta,"1,946.000",,"1,950.000",,"2,005.000",,"2,115.990",,"2,117.230",,"2,319.594",,"2,390.217",,"2,479.306",,"2,368.117",,"2,539.176",p
Netherlands,"111,093.137",,"110,553.789",,"108,507.696",,"109,214.518",,"110,459.100",,"111,494.685",,"113,478.591",,"113,652.815",,"112,754.024",,"113,386.873",p
Austria,"63,165.761",,"63,509.236",,"62,563.846",,"63,553.966",,"64,527.283",,"65,569.869",,"65,855.941",,"66,027.931",,"63,577.133",,"66,084.891",p
Poland,"133,278.000",,"134,481.000",,"136,307.473",,"138,926.620",,"143,762.500",,"146,424.864",,"151,398.376",,"152,001.983",,"148,241.111",,"153,954.283",p
Portugal,"47,111.297",,"46,273.791",,"46,140.165",,"46,851.931",,"47,355.930",,"47,660.306",,"48,897.029",,"48,810.000",,"47,245.999",,"48,235.706",p
Romania,"46,533.000",,"44,641.000",,"45,860.000",,"46,902.000",,"47,454.000",,"49,001.451",,"50,011.558",,"49,641.267",,"48,097.778",,"50,685.245",p
Slovenia,"12,541.000",,"12,587.000",,"12,559.000",,"12,895.000",,"13,121.000",,"13,622.626",,"13,807.675",,"13,775.681",,"13,046.905",,"13,539.492",p
Slovakia,"24,880.000",,"26,039.000",,"25,083.000",,"25,359.000",,"25,966.000",,"27,016.000",,"26,872.000",,"26,016.000",,"24,695.000",,"25,647.000",e
Finland,"82,036.000",,"81,283.000",,"80,433.000",,"79,664.000",,"82,179.000",,"82,276.000",,"84,023.000",,"82,643.000",,"78,141.000",,"83,152.000",p
