TIME,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
Belgium,"668,882.000",,"673,858.000",,"588,106.300",,"648,803.600",,"661,852.399",,"676,406.100",,"698,105.131",,"706,902.254",,"703,827.650",,"707,172.700",p
Bulgaria,"114,028.000",,"111,543.000",,"109,908.000",,"120,708.000",,"124,977.000",,"128,499.521",,"121,517.187",,"113,593.400",,"117,004.876",,"132,124.293",p
Czechia,"318,946.000",,"323,147.000",,"287,592.000",,"301,578.000",,"326,399.000",,"334,990.000",,"317,224.753",,"332,999.018",,"338,511.728",,"362,780.964",
Denmark,"162,095.000",,"154,259.000",,"130,815.293",,"133,891.979",,"137,387.763",,"133,575.936",,"132,260.937",,"128,334.542",,"114,292.309",,"108,747.741",p
Germany (until 1990 former territory of the FRG),"3,247,995.000",,"3,400,715.000",,"2,948,178.000",,"3,030,980.000",,"3,271,766.000",,"3,504,848.393",,"3,421,639.761",,"3,517,861.462",,"3,470,389.682",,"3,582,609.437",p
Estonia,"25,372.000",,"25,814.000",,"20,262.000",,"18,164.000",,"19,923.000",,"18,885.000",,"19,241.000",,"17,695.000",,"16,196.000",,"17,514.000",p
Ireland,"187,539.194",,"179,233.544",,"173,623.292",,"174,867.068",,"197,555.113",,"200,620.733",,"208,763.239",,"212,135.924",,"211,886.621",,"203,629.099",p
Greece,"170,361.000",,"150,552.000",,"115,570.000",,"124,530.000",,"162,342.000",,"195,554.640",,"191,533.763",,"208,840.018",,"229,273.702",,"253,471.219",p
Spain,"1,329,280.000",,"1,217,097.000",,"1,100,956.000",,"1,141,513.000",,"1,164,848.000",,"1,268,765.000",,"1,260,144.000",,"1,437,682.000",,"1,299,571.765",,"1,368,828.274",p
France,"1,777,792.176",,"1,805,776.515",,"1,516,447.598",,"1,630,366.719",,"1,781,972.133",,"1,792,089.861",,"1,716,105.038",,"1,750,924.371",,"1,631,261.593",,"1,737,273.538",p
Croatia,"112,264.000",,"106,152.000",,"93,943.000",,"96,850.000",,"100,974.000",,"115,986.676",,"106,633.466",,"111,925.689",,"117,472.377",,"114,117.900",p
